decision_id,final_n,final_best,agree_n16,agree_n32,agree_n64
2024-2024122510gm-00a9-0000-281f1a32-06-s2-d9,64,2,False,False,True
2024-2024122622gm-00a9-0000-29244a39-01-s0-d3,64,3,False,False,True
2024-2024122622gm-00a9-0000-5e56ec3a-08-s1-d1,64,1,False,True,True
2024-2024122700gm-00a9-0000-71a08711-07-s2-d2,128,2,False,False,False
2024-2024122714gm-00a9-0000-1f8c2640-02-s2-d7,64,2,True,True,True
2024-2024122714gm-00a9-0000-1f8c2640-04-s0-d12,64,1,True,True,True
2024-2024122714gm-00a9-0000-1f8c2640-05-s0-d12,128,2,True,True,True
2024-2024122719gm-00a9-0000-cdea5b6a-10-s1-d15,64,3,False,False,True
2024-2024122803gm-00a9-0000-f48082aa-02-s3-d11,64,4,True,True,True
2024-2024122803gm-00a9-0000-f48082aa-10-s1-d6,64,1,False,False,True
2024-2024122817gm-00a9-0000-d56449ed-01-s0-d15,64,4,True,True,True
2024-2024122817gm-00a9-0000-d56449ed-02-s3-d8,128,2,False,True,True
2024-2024122817gm-00a9-0000-d56449ed-05-s1-d2,64,3,False,True,True
2024-2024122921gm-00a9-0000-849c5aa4-12-s3-d10,64,2,True,True,True
2024-2024123020gm-00a9-0000-d4b5e627-01-s3-d3,64,3,False,False,True
2024-2024123020gm-00a9-0000-d4b5e627-12-s0-d9,64,3,False,False,True
2024-2024123104gm-00a9-0000-f69869df-01-s0-d12,32,2,True,True,False
2024-2024123104gm-00a9-0000-f69869df-04-s1-d7,64,1,True,True,True
2025-2025010923gm-00a9-0000-65e0833f-00-s2-d1,64,2,False,True,True
2025-2025010923gm-00a9-0000-65e0833f-00-s3-d6,64,1,True,False,True
2025-2025010923gm-00a9-0000-65e0833f-05-s3-d2,64,1,True,True,True
2025-2025010923gm-00a9-0000-65e0833f-08-s3-d2,64,1,True,True,True
2025-2025010923gm-00a9-0000-65e0833f-10-s1-d17,32,1,True,True,False
2025-2025011009gm-00a9-0000-797d5924-02-s1-d10,64,3,False,False,True
2025-2025011009gm-00a9-0000-797d5924-03-s0-d4,64,3,True,False,True
2025-2025011014gm-00a9-0000-9ea4d5cd-02-s1-d7,64,4,True,False,True
2025-2025011014gm-00a9-0000-9ea4d5cd-05-s0-d18,128,3,True,True,True
2025-2025011014gm-00a9-0000-9ea4d5cd-06-s0-d14,64,2,True,True,True
2025-2025011014gm-00a9-0000-9ea4d5cd-07-s3-d10,128,2,False,False,False
2025-2025011015gm-00a9-0000-3c8247e4-00-s1-d5,128,1,True,True,False
2025-2025011015gm-00a9-0000-3c8247e4-00-s2-d5,64,2,True,True,True
2025-2025011015gm-00a9-0000-3c8247e4-01-s3-d2,64,3,True,True,True
2025-2025011015gm-00a9-0000-3c8247e4-02-s0-d11,128,3,True,False,True
2025-2025011015gm-00a9-0000-3c8247e4-02-s0-d23,64,1,False,False,True
2025-2025011015gm-00a9-0000-3c8247e4-04-s0-d9,64,1,True,True,True
2025-2025011015gm-00a9-0000-3c8247e4-09-s1-d6,64,1,False,False,True
2025-2025011023gm-00a9-0000-6d5806f0-01-s0-d16,64,1,True,True,True
2025-2025011023gm-00a9-0000-6d5806f0-05-s0-d13,64,4,True,True,True
2025-2025011023gm-00a9-0000-6d5806f0-05-s0-d4,64,1,False,False,True
2025-2025011023gm-00a9-0000-6d5806f0-09-s1-d11,64,3,False,True,True
2025-2025011023gm-00a9-0000-6d5806f0-10-s2-d5,128,2,False,False,False
2025-2025011023gm-00a9-0000-6d5806f0-11-s3-d1,64,4,True,True,True
2025-2025011102gm-00a9-0000-034cfa13-01-s2-d3,64,1,True,True,True
2025-2025011102gm-00a9-0000-034cfa13-03-s1-d12,64,3,False,False,True
2025-2025011102gm-00a9-0000-034cfa13-09-s3-d4,64,4,True,False,True
2025-2025011102gm-00a9-0000-034cfa13-10-s1-d4,128,2,False,True,True
2025-2025011102gm-00a9-0000-034cfa13-10-s2-d0,64,4,False,True,True
2025-2025011102gm-00a9-0000-034cfa13-11-s3-d2,64,4,True,True,True
2025-2025011111gm-00a9-0000-44d5eaac-00-s2-d16,128,4,True,True,True
2025-2025011111gm-00a9-0000-44d5eaac-02-s2-d10,128,2,True,False,True
2025-2025011111gm-00a9-0000-44d5eaac-04-s1-d14,64,2,True,True,True
2025-2025011111gm-00a9-0000-44d5eaac-05-s1-d2,128,2,True,True,True
2025-2025011111gm-00a9-0000-44d5eaac-09-s0-d1,64,4,False,False,True
2025-2025011200gm-00a9-0000-18c17918-01-s0-d2,64,3,True,True,True
2025-2025011200gm-00a9-0000-18c17918-01-s0-d4,64,1,True,True,True
2025-2025011200gm-00a9-0000-18c17918-02-s3-d4,64,3,False,False,True
2025-2025011200gm-00a9-0000-18c17918-08-s0-d2,64,3,True,False,True
2025-2025011200gm-00a9-0000-18c17918-09-s0-d4,128,1,False,False,False
2025-2025011200gm-00a9-0000-18c17918-09-s3-d5,64,3,True,True,True
2025-2025011200gm-00a9-0000-18c17918-10-s0-d3,128,1,True,True,True
2025-2025011200gm-00a9-0000-18c17918-10-s0-d7,64,1,True,True,True
2025-2025011200gm-00a9-0000-18c17918-12-s2-d4,128,2,False,True,True
2025-2025011200gm-00a9-0000-18c17918-14-s0-d0,64,4,False,False,True
2025-2025011200gm-00a9-0000-18c17918-15-s0-d5,64,3,False,False,True
2025-2025011200gm-00a9-0000-18c17918-16-s1-d6,64,3,False,True,True
2025-2025011210gm-00a9-0000-65465afe-00-s3-d11,48,1,True,True,False
2025-2025011210gm-00a9-0000-65465afe-00-s3-d2,128,1,True,True,True
2025-2025011210gm-00a9-0000-65465afe-05-s1-d12,64,4,False,False,True
2025-2025011210gm-00a9-0000-65465afe-06-s0-d14,64,2,False,False,True
2025-2025011210gm-00a9-0000-65465afe-06-s0-d15,128,4,False,False,False
2025-2025011210gm-00a9-0000-65465afe-06-s1-d15,128,2,True,True,True
2025-2025011217gm-00a9-0000-dafeed52-08-s1-d10,64,1,True,True,True
2025-2025011217gm-00a9-0000-dafeed52-08-s1-d2,64,1,False,True,True
2025-2025011217gm-00a9-0000-dafeed52-09-s3-d8,64,1,True,True,True
2025-2025011221gm-00a9-0000-22bab0de-00-s1-d0,128,1,False,True,True
2025-2025011221gm-00a9-0000-22bab0de-04-s1-d4,64,3,True,True,True
