state_id,game_seed,kyoku_ordinal,chang,ju,honba,riichi_sticks,round_initial_scores,round_end_scores,next_oya,next_round_wind,next_honba,next_kyotaku,end_rank_seat0,end_rank_seat1,end_rank_seat2,end_rank_seat3,score_spread,stage_group
g20260842_ky00,20260842,0,0,0,1,0,"[38000, 21000, 20000, 21000]","[38000, 29000, 12000, 21000]",1,0,0,0,1,2,4,3,26000,early
g20260844_ky01,20260844,1,0,1,1,0,"[25000, 25000, 25000, 25000]","[26300, 25000, 23700, 25000]",2,0,0,0,1,2,4,3,2600,early
g20260825_ky01,20260825,1,0,1,0,0,"[40800, 19700, 14600, 24900]","[39800, 17700, 18600, 23900]",2,0,0,0,1,4,3,2,22100,early
g20260843_ky02,20260843,2,0,2,0,0,"[17100, 24900, 39000, 19000]","[17100, 24900, 51000, 7000]",2,0,1,0,3,2,1,4,44000,middle
g20260831_ky01,20260831,1,0,1,1,0,"[24000, 38200, 15400, 22400]","[32300, 38200, 7100, 22400]",2,0,0,0,2,1,4,3,31100,early
g20260839_ky01,20260839,1,0,1,1,1,"[23500, 25500, 26500, 23500]","[23500, 28800, 28500, 19200]",1,0,2,0,3,1,2,4,9600,early
g20260819_ky01,20260819,1,0,1,1,1,"[23500, 25500, 23500, 26500]","[22900, 24400, 22900, 29800]",2,0,0,0,3,2,4,1,6900,early
g20260814_ky00,20260814,0,0,0,1,0,"[44000, 6000, 25000, 25000]","[48200, 6000, 20800, 25000]",0,0,2,0,1,4,3,2,42200,early
g20260828_ky00,20260828,0,0,0,1,0,"[28000, 24000, 24000, 24000]","[28000, 24000, 28200, 19800]",1,0,0,0,2,3,1,4,8400,early
g20260846_ky00,20260846,0,0,0,1,1,"[27000, 24000, 24000, 24000]","[27000, 27600, 24000, 21400]",1,0,0,0,2,1,3,4,6200,early
g20260817_ky01,20260817,1,0,1,0,0,"[30500, 10300, 20900, 38300]","[31500, 9300, 20900, 38300]",2,0,0,0,2,4,3,1,29000,early
g20260840_ky02,20260840,2,0,2,0,0,"[18500, 29900, 26300, 25300]","[18500, 32500, 23700, 25300]",3,0,0,0,4,1,3,2,14000,middle
