pair_id,pair_key,state_a,state_b,seat,pair_kind,stage_group,kyoku_ordinal_a,kyoku_ordinal_b,score_diff,grp_value_a,grp_value_b,mc_value_a,mc_value_b,mc_se_a,mc_se_b,delta_grp,delta_mc,delta_mc_se,n_a,n_b
g20260832_ky09|g20260845_ky05|s0,g20260832_ky09|g20260845_ky05,g20260832_ky09,g20260845_ky05,0,hard,late,9,5,100,-2.0371235013008118,-0.781340628862381,-1.3333333333333333,-0.4895833333333333,0.5121417006867487,0.5308434864618427,-1.2557828724384308,-0.84375,0.7376204503003423,192,192
g20260832_ky06|g20260843_ky05|s0,g20260832_ky06|g20260843_ky05,g20260832_ky06,g20260843_ky05,0,hard,late,6,5,400,0.08342376351356506,2.325912554282695,-1.4791666666666667,2.0,0.5320220538879502,0.4364357804719847,-2.24248879076913,-3.479166666666667,0.6881305517845748,192,64
g20260832_ky07|g20260843_ky05|s0,g20260832_ky07|g20260843_ky05,g20260832_ky07,g20260843_ky05,0,hard,late,7,5,400,-0.08516016602516174,2.325912554282695,-0.8958333333333334,2.0,0.5430304853845775,0.4364357804719847,-2.411072720307857,-2.8958333333333335,0.6966766097216127,192,64
g20260832_ky08|g20260843_ky05|s0,g20260832_ky08|g20260843_ky05,g20260832_ky08,g20260843_ky05,0,hard,late,8,5,400,-1.5140899866819382,2.325912554282695,-2.09375,2.0,0.4752016640912762,0.4364357804719847,-3.8400025409646332,-4.09375,0.6452075728254502,128,64
g20260815_ky07|g20260832_ky09|s0,g20260815_ky07|g20260832_ky09,g20260815_ky07,g20260832_ky09,0,hard,late,7,9,700,-2.0345009565353394,-2.0371235013008118,-2.1979166666666665,-1.3333333333333333,0.5832822021657207,0.5121417006867487,0.002622544765472412,-0.8645833333333333,0.7762134042553039,192,192
g20260832_ky06|g20260845_ky05|s0,g20260832_ky06|g20260845_ky05,g20260832_ky06,g20260845_ky05,0,hard,late,6,5,700,0.08342376351356506,-0.781340628862381,-1.4791666666666667,-0.4895833333333333,0.5320220538879502,0.5308434864618427,0.864764392375946,-0.9895833333333335,0.751559893117054,192,192
g20260832_ky07|g20260845_ky05|s0,g20260832_ky07|g20260845_ky05,g20260832_ky07,g20260845_ky05,0,hard,late,7,5,700,-0.08516016602516174,-0.781340628862381,-0.8958333333333334,-0.4895833333333333,0.5430304853845775,0.5308434864618427,0.6961804628372192,-0.40625000000000006,0.759392464524092,192,192
g20260832_ky08|g20260845_ky05|s0,g20260832_ky08|g20260845_ky05,g20260832_ky08,g20260845_ky05,0,hard,late,8,5,700,-1.5140899866819382,-0.781340628862381,-2.09375,-0.4895833333333333,0.4752016640912762,0.5308434864618427,-0.7327493578195572,-1.6041666666666667,0.7124685457436578,128,192
g20260814_ky06|g20260819_ky05|s0,g20260814_ky06|g20260819_ky05,g20260814_ky06,g20260819_ky05,0,easy,late,6,5,35400,9.585295499739004,-8.187456175684929,9.4375,-7.8125,0.2203386192723762,0.5340002340823456,17.772751675423933,17.25,0.5776723614150646,64,64
g20260814_ky06|g20260818_ky06|s0,g20260814_ky06|g20260818_ky06,g20260814_ky06,g20260818_ky06,0,easy,late,6,6,34100,9.585295499739004,-8.735426126047969,9.4375,-8.6875,0.2203386192723762,0.3125,18.320721625786973,18.125,0.38236809116721177,64,64
